,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost,0.705686,0.732,accuracy,0.044006,0.002997,0.80874,0.044006,0.002997,0.80874,1,True,11
1,WeightedEnsemble_L2,0.695652,0.736,accuracy,0.165493,0.082458,4.133821,0.002999,0.0,0.121443,2,True,14
2,LightGBM,0.688963,0.72,accuracy,0.011996,0.007999,0.898501,0.011996,0.007999,0.898501,1,True,5
3,CatBoost,0.675585,0.718,accuracy,0.007974,0.002002,2.572761,0.007974,0.002002,2.572761,1,True,8
4,LightGBMLarge,0.665552,0.712,accuracy,0.008,0.004001,1.692622,0.008,0.004001,1.692622,1,True,13
5,RandomForestGini,0.648829,0.712,accuracy,0.074005,0.049117,0.669445,0.074005,0.049117,0.669445,1,True,6
6,LightGBMXT,0.648829,0.71,accuracy,0.074908,0.020001,2.039125,0.074908,0.020001,2.039125,1,True,4
7,RandomForestEntr,0.64214,0.712,accuracy,0.086498,0.049002,0.632688,0.086498,0.049002,0.632688,1,True,7
8,ExtraTreesGini,0.628763,0.66,accuracy,0.088475,0.049998,0.635645,0.088475,0.049998,0.635645,1,True,9
9,ExtraTreesEntr,0.615385,0.658,accuracy,0.091035,0.058562,0.624878,0.091035,0.058562,0.624878,1,True,10
10,NeuralNetTorch,0.565217,0.666,accuracy,0.01,0.005025,9.818458,0.01,0.005025,9.818458,1,True,12
11,KNeighborsDist,0.561873,0.54,accuracy,0.01948,0.018898,0.005998,0.01948,0.018898,0.005998,1,True,2
12,NeuralNetFastAI,0.535117,0.586,accuracy,0.017092,0.015,2.455414,0.017092,0.015,2.455414,1,True,3
13,KNeighborsUnif,0.531773,0.54,accuracy,0.024002,0.017582,0.006011,0.024002,0.017582,0.006011,1,True,1
