,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMLarge,0.809365,0.814,accuracy,0.007998,0.005001,0.817202,0.007998,0.005001,0.817202,1,True,13
1,CatBoost,0.80602,0.812,accuracy,0.005001,0.000996,2.176027,0.005001,0.000996,2.176027,1,True,7
2,LightGBM,0.799331,0.814,accuracy,0.004999,0.004003,0.526615,0.004999,0.004003,0.526615,1,True,4
3,XGBoost,0.795987,0.8,accuracy,0.02547,0.002001,0.418689,0.02547,0.002001,0.418689,1,True,11
4,RandomForestGini,0.789298,0.784,accuracy,0.072999,0.051897,0.622599,0.072999,0.051897,0.622599,1,True,5
5,WeightedEnsemble_L2,0.789298,0.822,accuracy,0.246883,0.090385,12.480349,0.003997,0.0,0.114642,2,True,14
6,RandomForestEntr,0.785953,0.778,accuracy,0.060005,0.049007,0.637169,0.060005,0.049007,0.637169,1,True,6
7,LightGBMXT,0.772575,0.794,accuracy,0.017999,0.01,1.174378,0.017999,0.01,1.174378,1,True,3
8,NeuralNetTorch,0.765886,0.75,accuracy,0.019936,0.005028,8.985644,0.019936,0.005028,8.985644,1,True,12
9,ExtraTreesGini,0.752508,0.758,accuracy,0.070264,0.056444,0.905633,0.070264,0.056444,0.905633,1,True,8
10,ExtraTreesEntr,0.752508,0.766,accuracy,0.16893,0.062005,0.672438,0.16893,0.062005,0.672438,1,True,9
11,NeuralNetFastAI,0.688963,0.684,accuracy,0.024699,0.00696,2.150594,0.024699,0.00696,2.150594,1,True,10
12,KNeighborsUnif,0.655518,0.632,accuracy,0.044021,0.018354,0.004983,0.044021,0.018354,0.004983,1,True,1
13,KNeighborsDist,0.652174,0.644,accuracy,0.039988,0.018067,0.004017,0.039988,0.018067,0.004017,1,True,2
